name,mascot,city,state,primary_color,secondary_color,team_logo_image
A&M Consolidated,Tigers,College Station,TX,#800000,#FFFFFF,
A+ Academy,Knights,Dallas,TX,#1F4FBF,#C8102E,
Abbeville,Panthers,Abbeville,SC,#760304,#EBE4DC,
Abbeville,Wildcats,Abbeville,LA,#E80B26,#EBE4DC,
Abernathy,Antelopes,Abernathy,TX,#A06060,#F0F0F0,
Abilene,Eagles,Abilene,TX,#000000,#A88A4C,
Academy,Bears,Somerset,TX,#0B1F4D,#B0B0B0,
Acadiana,Rams,Lafayette,LA,#014421,#C5B358,
Achieve,Polar Bears,Austin,TX,#e6e6fa,#FFFFFF,
Ada,Cougars,Ada,OK,#7A1E2C,#D3CFCD,
Adair,Warriors,Adair,OK,#1F7A3A,#FFFFFF,
Adams,Cougars,Dallas,TX,#000000,#00A651,
Adamson,Leopards,Dallas,TX,#1E5FA8,#FFFFFF,
Afton,Eagles,Afton,OK,#0B1F4D,#C8102E,
Agua Dulce,Longhorns,Agua Dulce,TX,#760C22,#FFFFFF,
Akins,Eagles,Austin,TX,#132E4A,#656D71,
Alamo Heights,Mules,San Antonio,TX,#003FF7,#CAB87C,
Alba,Golden Panthers,Golden,TX,#D62828,#FFFFFF,
Albany,Hornets,Albany,LA,#090706,#D6CFD0,
Albany,Lions,Albany,TX,#D62828,#FFFFFF,
Aldine,Mustangs,Aldine,TX,#0033A0,#FFFFFF,
Aldine,Vikings,Bossier City,LA,,,
Aledo,Bearcats,Aledo,TX,#000000,#FFA500,
Alex,Longhorns,Alex,OK,#544E48,#B8A465,
Alexander,Trojans,Alexander,LA,,,
Alexander,Bulldogs,Laredo,TX,#000000,#FFB81C,
Alice,Coyotes,Alice,TX,#CC5500,#FFFFFF,
All Saints,Saints,Fort Worth,TX,#0B1F4D,#FFFFFF,
All Saints,Trojans,Tyler,TX,#0B1F4D,#FFFFFF,
Allen,,,OK,,,
Allen,Eagles,Allen,TX,#001058,#C72E38,
Allen Academy,Rams,Bryan,TX,#FFC72C,#0B1F4D,
Allendale-Fairfax,Tigers,Allendale,SC,#000000,#FFFFFF,
Alpha Omega,Lions,Huntsville,TX,,,
Alpine,Bucks,Alpine,TX,#7b68ee,#FFDF00,
Alto,Yellow Jackets,Alto,TX,#000000,#d9a750,
Alva,,,OK,,,
Alva,Goldbugs,,OK,,,
Alvarado,Indians,Alvarado,TX,#e6e6fa,#D4AF37,
Alvin,Yellow Jackets,Alvin,TX,#228b22,#001700,
Alvord,Bulldogs,Alvord,TX,#000000,#d9a750,
Amarillo,Sandies,Amarillo,TX,#EDEEF2,#C8880A,
American Heritage,Patriots,Plantation,FL,#000000,#CFB53B,
Americas,Trail Blazers,El Paso,TX,#1F4FBF,#C8102E,
Amherst,Bulldogs,Amherst,TX,,,
Amite,Warriors,Amite,LA,,,
Anadarko,,,OK,,,
Anahuac,Panthers,Anahuac,TX,#000000,#d9a750,
Anderson,Trojans,Austin,TX,#1569C7,#FFDF00,
Anderson-Shiro,Fighting Owls,Anderson,TX,#61729F,#FFFFFF,
Andress,Golden Eagles,El Paso,TX,#7A1E2C,#C2A15A,
Andrew Jackson,Volunteers,Kershaw,SC,#FF8C00,#FFFFFF,
Andrews,Mustangs,Andrews,TX,#000000,#FFD700,
Angleton,Wildcats,Angleton,TX,#916FA1,#EEEEF2,
Anna,Coyotes,Anna,TX,#e6e6fa,#FFFFFF,
Annapolis,Warriors,Corpus Christi,TX,,,
Anson,Tigers,Anson,TX,#A9394A,#1E1920,
Anthony,Wildcats,Anthony,TX,#8F85B8,#E0CFDF,
Antlers,,,OK,,,
Anton,Bulldogs,Anton,TX,#75598B,#C1965A,
Antonian,Apaches,San Antonio,TX,,,
Apache,,,OK,,,
Aransas Pass,Panthers,Aransas Pass,TX,#BCA255,#BCA255,
Arcadia,Hornets,Arcadia,LA,,,
Archer City,Wildcats,Archer City,TX,#1B1C21,#D8DAEA,
Ardmore,,,OK,,,
Argyle,Eagles,Argyle,TX,#000000,#ED2024,
Arkoma,,,OK,,,
Arlington,Colts,Arlington,TX,#4CBB17,#FFFFFF,
Arlington Heights,Lions,Corpus Christi,TX,,,
Arlington Heights,Yellow Jackets,Fort Worth,TX,#0B2A5B,#FFC72C,
Armwood,Hawks,Seffner,FL,#0033A0,#808080,
Arp,Tigers,Arp,TX,#64313C,#F3F0F0,
Ascension Catholic,Bulldogs,Donaldsonville,LA,,,
Ascension Christian,Lions,Gonzales,LA,,,
Aspermont,Hornets,Aspermont,TX,,,
Assumption,Mustangs,Napoleonville,LA,,,
Atascocita,Eagles,Humble,TX,#C8102E,#FFFFFF,
Athens,Hornets,Athens,TX,#6B2A2E,#1B1B1B,
Atlanta,Jackrabbits,Atlanta,TX,#800000,#FFFFFF,
Atlantic,Eagles,Delray Beach,FL,#4CBB17,#FFFFFF,
Atlus,,,OK,,,
Atoka,,,OK,,,
Aubrey,Chaparrals,Aubrey,TX,#041833,#BC0125,
Austin,Maroons,Austin,TX,#723A40,#F2EDEB,
Austin,Panthers,El Paso,TX,#000000 ,#F05A28,
Austin,Bulldogs,Fort Bend,TX,#000000,#C8102E,
Austin,Mustangs,Houston,TX,#111111,#006341,
Avoyelles,Mustangs,Moreauville,LA,,,
Avoyelles Public Charter ,Vikings,Mansura,LA,,,
Axtell,Longhorns,Axtell,TX,#C45A1A,#EFE6D8,
Aynor,Blue Jackets,Aynor,SC,#011F5B,89cff0,
Azle,Hornets,Azle,TX,#1F7A4D,#F2F4F3,
Bad Axe,Hatchets,Bad Axe,MI,,,
Baird,Bears,Baird,TX,#9E2A2F,#F3F2F1,
Baker,Buffaloes,Baker,LA,,,
Balko/Forgan,,,OK,,,
Ball,Golden Tornadoes,Galveston,TX,#800080,#FFD700,
Ballinger,Bearcats,Ballinger,TX,#000000,#FFFFFF,
Balmorhea,Bears,Balmorhea,TX,,,
Bamberg-Ehrhardt,Red Raiders,Bamberg,SC,#800000,#000000,
Bandera,Bulldogs,Bandera,TX,#0000FF,#FFFFFF,
Bangs,Dragons,Bangs,TX,#4CBB17,#FFFFFF,
Banquete,Bulldogs,Aransas Pass,TX,#1F6F43,#F2F3F2,
Baptist,Bears,San Marcos,TX,,,
Barbe,Buccaneers,Lake Charles,LA,,,
Barbers Hill,Eagles,Mont Belvieu,TX,#1F4FA3,#F4F5F6,
Barnsdall,,,OK,,,
Barnwell,War Horses,Barnwell,SC,#FF0000,#FFFFFF,
Bartlesville,Bruins,,OK,,,
Bartlett,Bulldogs,Bartlett,TX,#1F4ED8,#FFFFFF,
Basile,Bearcats,Basile,LA,,,
Bastrop,Bears,Bastrop,TX,#800000,#FFFFFF,
Baton Rouge Magnet,Bulldogs,Baton Rouge,LA,,,
Battery Creek,Dolphins,Beaufort,SC,#000000,#FFDF00,
Bay Area Christian,Broncos,League City,TX,,,
Bay City,Black Cats,Bay City,TX,#18439F,#E8B828,
Beaver,,,OK,,,
Beckville,Bearcats,Beckville,TX,#1F4FB2,#FFFFFF,
Beekman Charter,Tigers,Bastrop,LA,,,
Beeville (A.C. Jones),Trojans,Beeville,TX,#C55A2A,#F2F0EA,
Beeville Jones,Trojans,,,,,
Belaire,Bengal,Baton Rouge,LA,,,
Belaire,Highlanders,El Paso,TX,#D62828,#000000,
Belen Jesuit,Wolverines,Miami,FL,#003366,#C5A000,
Bellaire,Cardinals,Houston,TX,,,
Belle Chasse,Cardinals,Belle Chasse,LA,,,
Bells,Panthers,Bells,TX,#111214,#E4572E,
Bellville,Brahmas,Bellville,TX,#FF0000,#FFFFFF,
Belton,Tigers,Belton,TX,#C8102E,#FFFFFF,
Ben Bolt,Badgers,Ben Bolt,TX,#1F4FA3,#FFFFFF,
Benbrook,bobcats,Benbrook,TX,#000000,#FFD100,
Benjamin,Mustangs,Benjamin,TX,,,
Benton,Tigers,Benton,LA,,,
Berkeley,Yellow Jackets,CA,,,,
Berkeley,Stags,Moncks Corner,SC,#0000FF,#D4AF37,
Berkner,Rams,Richardson,TX,#00843D,#000000,
Berkshire,Badgers,Burton,OH,#2E174F,#D0D0EC,
Berryhill,,,OK,,,
Bertram,Black Panthers,Bertram,TX,#000000,#C0C0C0,
Bethany,,,OK,,,
Bethany,Broncos,,OK,,,
Bethel,,,OK,,,
Bible Academy,,,OK,,,
Big Sandy,Wildcats,Big Sandy,TX,#5B2D8B,#FFFFFF,
Big Spring,Steers,Big Spring,TX,#0F0F10,#D4AF37,
Billings,,,OK,,,
Birdville,Hawks,North Richland Hills,TX,#1B5E20,#F5E6A8,
Bishop,Badgers,Bishop,TX,#0B8F3C,#FFD100,
Bishop Kelley,,,OK,,,
Bishop Kelly,Comets,Tulsa,OK,,,
Bishop Lynch,Friars,Dallas,TX,#000000,#FFFFFF,
Bishop McGuinness,,,OK,,,
Bishop-England,Battlin Bishops,Daniel Island,SC,#4CBB17,#FFFFFF,
Bishop-Gorman,Gauls,Las Vegas,NV,#0033A0,#FF6600,
Bixby,Spartans,Bixby,OK,,,
Blackwell,Hornets,Blackwell,TX,#007A5E,#FFFFFF,
Blanchard,Lions,,OK,,,
Blanco,Panthers,Blanco,TX,#0000FF,#FFD700,
Blanket,Tigers,Blanket,TX,,,
Block,Bears,Jonesville,LA,,,
Blooming Grove,Lions,Blooming Grove,TX,#1F4FBF,#FFFFFF,
Bloomington,Bobcats,Bloomington,TX,,,
Blue Ridge,Tigers,Blue Ridge,TX,#1B5E20,#FFFFFF,
Bluejacket,,,OK,,,
Bluff Dale,Bobcats,Bluff Dale,TX,#1F7A3A,#FFFFFF,
Boerne,Grayhounds,Boerne,TX,#e6e6fa,#FFFFFF,
